iter	Passed	Remaining
981	5439	5639
982	5444	5633
983	5448	5625
984	5452	5618
985	5457	5612
986	5461	5605
987	5466	5599
988	5470	5591
989	5475	5586
990	5478	5578
991	5483	5571
992	5486	5563
993	5490	5556
994	5495	5550
995	5499	5543
996	5502	5535
997	5505	5527
998	5509	5520
999	5514	5514
1000	5517	5506
1001	5522	5500
1002	5526	5493
1003	5530	5486
1004	5533	5478
1005	5538	5472
1006	5542	5465
1007	5546	5458
1008	5552	5453
1009	5559	5449
1010	5565	5444
1011	5570	5438
1012	5575	5432
1013	5579	5425
1014	5582	5417
1015	5586	5410
1016	5591	5404
1017	5595	5397
1018	5600	5391
1019	5604	5384
1020	5609	5378
1021	5613	5371
1022	5616	5364
1023	5622	5358
1024	5625	5351
1025	5629	5344
1026	5632	5336
1027	5638	5331
1028	5645	5327
1029	5651	5322
1030	5657	5316
1031	5662	5311
1032	5665	5303
1033	5669	5296
1034	5672	5289
1035	5677	5283
1036	5681	5276
1037	5685	5269
1038	5690	5263
1039	5700	5261
1040	5703	5254
1041	5708	5248
1042	5712	5241
1043	5715	5233
1044	5718	5225
1045	5723	5219
1046	5726	5212
1047	5733	5207
1048	5739	5202
1049	5749	5201
1050	5756	5198
1051	5762	5192
1052	5768	5187
1053	5771	5180
1054	5773	5171
1055	5778	5165
1056	5781	5157
1057	5784	5150
1058	5787	5143
1059	5792	5136
1060	5796	5129
1061	5804	5126
1062	5809	5121
1063	5815	5115
1064	5819	5109
1065	5824	5103
1066	5832	5099
1067	5836	5093
1068	5841	5087
1069	5845	5080
1070	5849	5073
1071	5854	5067
1072	5860	5062
1073	5864	5056
1074	5868	5049
1075	5872	5043
1076	5880	5039
1077	5882	5030
1078	5884	5023
1079	5890	5017
1080	5895	5011
1081	5898	5004
1082	5905	5000
1083	5908	4992
1084	5913	4986
1085	5918	4981
1086	5921	4973
1087	5925	4966
1088	5927	4958
1089	5931	4951
1090	5935	4945
1091	5941	4940
1092	5947	4935
1093	5963	4939
1094	5974	4937
1095	5978	4931
1096	5984	4926
1097	5988	4919
1098	5992	4912
1099	5995	4905
1100	5998	4897
1101	6001	4890
1102	6005	4883
1103	6010	4877
1104	6016	4872
1105	6020	4866
1106	6025	4860
1107	6027	4852
1108	6031	4845
1109	6035	4839
1110	6040	4833
1111	6045	4828
1112	6047	4819
1113	6052	4814
1114	6056	4807
1115	6062	4801
1116	6065	4794
1117	6069	4788
1118	6072	4780
1119	6077	4775
1120	6084	4771
1121	6090	4765
1122	6094	4759
1123	6098	4753
1124	6102	4746
1125	6104	4738
1126	6106	4730
1127	6108	4721
1128	6112	4716
1129	6118	4711
1130	6123	4705
1131	6130	4701
1132	6140	4698
1133	6147	4694
1134	6151	4687
1135	6152	4679
1136	6156	4672
1137	6161	4666
1138	6164	4659
1139	6168	4653
1140	6172	4647
1141	6178	4641
1142	6181	4634
1143	6185	4628
1144	6189	4621
1145	6193	4615
1146	6197	4608
1147	6201	4602
1148	6206	4597
1149	6212	4591
1150	6222	4589
1151	6229	4585
1152	6240	4584
1153	6248	4581
1154	6255	4576
1155	6265	4574
1156	6272	4570
1157	6276	4563
1158	6279	4556
1159	6283	4550
1160	6287	4543
1161	6293	4538
1162	6297	4532
1163	6301	4525
1164	6305	4519
1165	6311	4514
1166	6316	4508
1167	6321	4502
1168	6335	4503
